,医生有无简介,总文章数,log(IST),患者满意度,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
410,-0.7312775330396476,-2.682819383259912,-0.039122125211764905,-6.01926024510777,40.04625550660793,-502.04625550660785,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
411,0.2687224669603524,0.3171806167400879,0.027093808240437202,-10.097708035728198,32.04625550660793,-1622.0462555066078,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
416,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,0.7466960352422907
417,0.2687224669603524,-2.682819383259912,-0.032720102598414375,-9.39729663667756,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,0.9493392070484582,-0.33480176211453744,-0.2533039647577093
423,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
429,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
431,0.2687224669603524,-2.682819383259912,0.019631113401606413,-9.163826170327345,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
434,-0.7312775330396476,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
440,0.2687224669603524,-2.682819383259912,-0.03190704049930157,-8.90299323831043,79.04625550660793,6790.953744493392,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
441,-0.7312775330396476,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
444,0.2687224669603524,31.31718061674009,0.004533584190931826,-7.213975042525538,84.04625550660793,7945.953744493392,-0.28854625550660795,-0.45374449339207046,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,0.7466960352422907
