,医生有无简介,总文章数,log(IST),患者满意度,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
180,1,0,0.09835397456911754,-6.808030101645608,0.0,0.0,0,1,0,0,0,1,0,2
181,1,0,0.041037210776011614,-9.752023766208406,0.0,0.0,0,1,0,0,0,0,1,2
182,1,0,0.14541425682748899,-6.51474235868078,216.0,46656.0,0,1,0,0,0,1,0,2
183,1,1,0.04483678328763379,-9.365498619611959,0.0,0.0,0,1,0,0,0,0,1,2
184,0,0,0.02991781757124853,-10.22471453742497,0.0,0.0,1,0,0,0,0,0,0,2
185,1,8,0.13453424715234177,138.71141897627595,255.0,65025.0,1,0,0,0,0,0,1,2
186,0,0,0.06760725827497174,-9.21531885862379,44.0,1936.0,0,1,0,0,0,0,0,2
187,0,0,0.0,-9.838189390828527,0.0,0.0,0,1,0,0,0,0,0,2
188,1,5,0.09865400981610227,-6.300548461324563,0.0,0.0,1,0,0,0,0,1,0,2
189,1,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
190,1,0,0.0,-9.752023766208406,0.0,0.0,0,1,0,0,0,1,0,2
191,1,1,0.0,-9.98836915181669,0.0,0.0,0,0,0,1,0,0,0,2
192,1,0,0.0,-9.028375975751771,0.0,0.0,0,1,0,1,0,0,0,2
193,1,3,0.11321294261136097,7.144923605425196,0.0,0.0,0,1,0,0,0,0,1,2
194,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
195,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
196,0,2,0.1858323305815605,-9.98836915181669,98.0,9604.0,0,1,0,0,1,0,0,2
197,1,0,0.01860485236997791,-8.555685204535203,0.0,0.0,0,1,0,1,0,0,0,2
198,0,2,0.09433511084820999,-4.092841968070798,142.0,20164.0,1,0,0,1,0,0,0,2
199,1,5,0.008556996845201092,-8.405505443547039,0.0,0.0,0,0,0,0,0,1,0,2
200,1,0,0.0,-9.98836915181669,0.0,0.0,1,0,0,0,0,1,0,2
201,1,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,1,0,0,0,2
202,1,5,0.22745653344574693,-7.024196251781202,240.0,57600.0,1,0,0,0,0,0,1,2
203,1,0,0.0,-9.98836915181669,0.0,0.0,0,1,0,1,0,0,0,2
204,1,6,0.08963967103385581,-7.359346642862004,0.0,0.0,1,0,0,0,0,1,0,2
205,1,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,0,0,1,0,2
206,0,0,0.09095515720349162,-9.27933299499184,0.0,0.0,0,1,0,0,0,1,0,2
207,1,20,0.10040266624227795,-5.798634422844427,75.0,5625.0,0,1,0,0,1,0,0,2
208,1,48,0.05706463557483513,-5.217626538755666,219.0,47961.0,1,0,0,0,0,0,1,2
209,0,0,0.05263596526153947,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
210,1,4,0.09231976053209254,-4.479367114667247,160.0,25600.0,0,1,0,0,0,0,1,2
211,1,25,0.20213379943376805,-7.058987120885674,0.0,0.0,1,0,0,0,0,0,1,2
212,1,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,1,0,0,2
213,0,0,0.0,-9.752023766208406,0.0,0.0,0,0,0,0,0,0,0,2
214,1,0,0.0035921576181164325,-8.978973473015511,0.0,0.0,0,1,0,0,0,1,0,2
215,1,0,0.00684615963358109,-8.792030590143488,0.0,0.0,0,1,0,0,0,1,0,2
216,1,0,0.10507664252028466,-4.444576245562775,0.0,0.0,1,0,0,0,0,1,0,2
217,1,0,0.0,-9.752023766208406,0.0,0.0,0,1,0,0,0,1,0,2
