,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
290,1,0,0.0,-8.669522771960215,2,一线城市,73.0,5329.0,1,0,0,1,0,0,0,1
291,0,0,0.26231504006702494,-10.097708035728198,2,其他,88.0,7744.0,0,0,0,1,0,0,0,1
292,1,1,0.08269749659489327,14.030375235849618,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
293,1,0,0.039072861193410593,-8.870562621056683,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
294,0,8,0.012014607911153677,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
295,1,0,0.06942569777347643,-9.864237569377984,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
296,0,0,0.0,-10.097708035728198,0,其他,0.0,0.0,0,0,0,0,0,0,0,1
297,1,0,0.09835478327467947,-9.630767103027768,5,二线城市,54.0,2916.0,0,1,0,0,0,0,1,1
298,1,0,0.03993178284601759,-6.595334183602733,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
299,1,0,0.018535658501331178,-9.136463704660644,2,二线城市,72.0,5184.0,0,1,0,1,0,0,0,1
300,1,3,0.0772354338544282,0.8287193813337326,5,其他,255.0,65025.0,0,0,0,0,0,0,1,1
301,0,0,0.0,-10.097708035728198,2,其他,0.0,0.0,0,0,0,1,0,0,0,1
302,1,1,0.2958380034457071,-8.98983193002531,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,1
303,1,2,0.06831877940857538,-10.097708035728198,2,其他,53.0,2809.0,0,0,0,1,0,0,0,1
304,1,4,0.006678439666006448,-10.097708035728198,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,1
305,1,0,0.03312539231609986,-10.097708035728198,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,1
306,1,0,0.05624960689049376,-9.397296636677558,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
307,1,0,0.05763434396592224,0.45875344352228126,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
308,1,0,0.011045690908673028,-8.637092154706469,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
309,1,0,0.1457655899612519,-6.74703410982511,3,一线城市,0.0,0.0,1,0,0,0,1,0,0,1
310,1,1,0.15954492295785436,-10.097708035728198,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
311,1,5,0.032682934562617456,-8.669522771960215,3,其他,131.0,17161.0,0,0,0,0,1,0,0,1
312,1,0,0.0027464980601263,-9.864237569377984,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
313,1,0,0.0,-9.630767103027768,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
314,0,3,0.02619773104604465,-2.8696261683011497,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
315,1,0,0.06390371216530753,-10.097708035728198,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
316,1,14,0.025850582894663895,-9.864237569377984,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
317,1,0,0.1816405580636836,-10.097708035728198,2,一线城市,71.0,5041.0,1,0,0,1,0,0,0,1
318,0,0,0.0,-10.097708035728198,0,其他,0.0,0.0,0,0,0,0,0,0,0,1
319,1,1,0.02291596239172103,-8.376259222689555,2,二线城市,49.0,2401.0,0,1,0,1,0,0,0,1
320,0,5,0.0808032200385409,-9.630767103027768,4,其他,51.0,2601.0,0,0,0,0,0,1,0,1
321,0,54,0.005082952509751742,-8.202581839259791,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
322,1,0,0.009403963699639608,-8.902993238310428,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
323,1,3,0.07076062761072044,-7.295745582653372,3,二线城市,0.0,0.0,0,1,0,0,1,0,0,1
324,0,4,0.04839199585598755,-9.864237569377984,5,二线城市,89.0,7921.0,0,1,0,0,0,0,1,1
325,1,1,0.05188148778109311,-8.522890997324886,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
326,0,0,0.17984868561441125,-9.136463704660644,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
327,1,1,0.048987376636034766,-8.7837239293418,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
328,0,0,0.0,-10.097708035728198,2,其他,0.0,0.0,0,0,0,1,0,0,0,1
329,1,0,0.0,-9.864237569377984,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
330,0,0,0.004618828913499261,-7.589009131924033,2,其他,0.0,0.0,0,0,0,1,0,0,0,1
331,0,0,0.0,-10.097708035728198,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
332,1,3,0.05939571291839187,-6.62776480085648,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
333,1,0,0.34364113236305366,-9.630767103027768,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
334,0,0,0.0,-10.097708035728198,0,二线城市,253.0,64009.0,0,1,0,0,0,0,0,1
335,1,0,0.05041787179466684,-10.097708035728198,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
336,1,8,0.09768819750219733,575.6120707785553,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
337,0,0,0.3794850445237459,-10.097708035728198,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,1
338,1,0,0.3267078885531052,-8.696885237626915,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,1
339,1,0,0.6931471805599453,-9.136463704660644,2,一线城市,59.0,3481.0,1,0,0,1,0,0,0,1
